,time,fixations
169,6.748088888,"  fixation id           x           y fixation status
0         9.0  866.094500  399.708000          during
1         8.0  841.875854  441.443573         tracked
2         7.0  768.405029  408.936707         tracked
3         5.0  817.278809  387.265839         tracked
4         4.0  812.134827  436.028137         tracked
5         3.0  849.174866  443.270569         tracked"
170,6.781433333,"  fixation id           x           y fixation status
0         9.0  869.676714  393.945714          during
1         8.0  845.498718  433.453674         tracked
2         7.0  771.523621  400.482819         tracked
3         5.0  821.207581  378.654694         tracked
4         4.0  815.702026  428.030212         tracked
5         3.0  852.822205  435.303497         tracked"
171,6.814766666,"  fixation id           x           y fixation status
0         9.0  875.925429  394.103571          during
1         8.0  846.366882  430.680115         tracked
2         7.0  772.150635  396.758942         tracked
3         5.0  822.514404  375.250092         tracked
4         4.0  816.546509  425.145355         tracked
5         3.0  853.697327  432.556641         tracked"
172,6.848111111,"  fixation id           x           y fixation status
0         9.0  872.757667  398.344833          during
1         8.0  845.338074  432.058868         tracked
2         7.0  771.058472  396.960236         tracked
3         5.0  821.939392  376.211853         tracked
4         4.0  815.431396  426.387360         tracked
5         3.0  852.670288  433.936615         tracked"
173,6.881455555,"  fixation id           x           y fixation status
0         9.0  876.930429  400.179714          during
1         8.0  843.143860  436.591766         tracked
2         7.0  768.911804  399.975220         tracked
3         5.0  820.218079  380.265137         tracked
4         4.0  813.188416  430.787598         tracked
5         3.0  850.458740  438.492798         tracked"
174,6.9148,"  fixation id           x           y fixation status
0         9.0  872.387857  413.275000          during
1         8.0  840.220154  443.706696         tracked
2         7.0  766.075562  405.439850         tracked
3         5.0  817.869507  386.748810         tracked
4         4.0  810.241333  437.705261         tracked
5         3.0  847.564636  445.572906         tracked"
175,6.948144444,"  fixation id           x           y fixation status
0         9.0  871.385000  419.498833          during
1         8.0  836.869324  452.247528         tracked
2         7.0  762.839111  412.511108         tracked
3         5.0  814.783020  394.894653         tracked
4         4.0  806.831543  446.107849         tracked
5         3.0  844.205383  454.139130         tracked"
176,6.981477777,"  fixation id           x           y fixation status
0         9.0  869.513571  422.498857          during
1         8.0  833.150269  463.550049         tracked
2         7.0  759.264648  422.499969         tracked
3         5.0  811.454041  405.778748         tracked
4         4.0  803.098633  457.279846         tracked
5         3.0  840.523193  465.464294         tracked"
177,7.014822222,"  fixation id           x           y fixation status
0         9.0  857.245000  429.358714          during
1         8.0  828.264954  475.788879         tracked
2         7.0  754.536621  434.048340         tracked
3         5.0  806.876282  417.694336         tracked
4         4.0  798.188171  469.451508         tracked
5         3.0  835.666931  477.711914         tracked"
178,7.048166666,"  fixation id           x           y fixation status
0         9.0  854.713167  431.962167          during
1         8.0  820.002258  481.948669         tracked
2         7.0  745.813721  440.569153         tracked
3         5.0  798.555908  423.608185         tracked
4         4.0  789.830933  475.711121         tracked
5         3.0  827.467102  483.851044         tracked"
179,7.081511111,"  fixation id           x           y fixation status
0         9.0  842.937286  423.034143             end
1         8.0  807.419617  478.906921         tracked
2         7.0  732.360413  438.198059         tracked
3         5.0  785.448242  420.708313         tracked
4         4.0  777.195984  472.832275         tracked
5         3.0  814.919617  480.786835         tracked"
